Tiempo,Temperatura
81.39,21.75
81.59,22.00
81.80,21.50
82.00,21.50
82.20,21.75
82.41,21.75
82.61,22.00
82.82,22.00
83.02,21.50
83.22,22.00
83.43,21.50
83.64,21.75
83.84,21.75
84.05,21.75
84.25,21.50
84.46,21.75
84.66,21.75
84.87,21.75
85.07,21.75
85.27,22.00
85.48,21.75
85.68,21.75
85.89,21.50
86.09,21.50
86.31,21.75
86.51,22.25
86.72,21.75
86.93,22.00
87.14,21.50
87.34,21.75
87.55,22.00
87.75,21.75
87.96,21.75
88.16,22.00
88.37,22.00
88.57,22.00
88.78,21.75
88.98,22.25
89.18,22.00
89.39,22.00
89.60,22.00
89.81,21.75
90.01,22.00
90.22,22.00
90.42,22.25
90.63,22.00
90.83,22.25
91.03,22.25
91.24,22.25
91.44,22.25
91.65,22.00
91.85,22.25
92.06,22.25
92.26,22.25
92.46,22.25
92.67,22.00
92.87,22.25
93.07,22.00
93.28,22.00
93.48,22.00
93.70,22.00
93.90,22.00
94.10,22.50
94.31,22.25
94.51,22.00
94.72,22.25
94.92,22.25
95.13,22.25
95.33,22.00
95.54,22.50
95.74,22.50
95.94,22.50
96.14,22.50
96.35,22.25
96.56,22.50
96.77,22.00
96.97,22.00
97.17,22.50
97.38,22.25
97.58,22.50
97.78,22.75
97.98,22.50
98.19,22.50
98.39,22.25
98.60,22.50
98.80,22.00
99.00,22.25
99.21,22.50
99.41,22.25
99.62,22.75
99.82,22.25
100.04,22.75
100.24,22.75
100.45,22.75
100.65,22.75
100.85,22.75
101.06,22.75
101.26,22.50
101.46,22.75
101.66,22.75
101.87,22.75
102.08,23.00
102.28,23.00
102.48,22.25
102.69,22.75
102.89,23.00
103.09,23.00
103.30,22.50
103.50,23.00
103.70,23.25
103.90,23.00
104.11,23.00
104.31,22.75
104.52,23.00
104.72,23.00
104.93,22.75
105.13,23.25
105.33,23.00
105.54,23.00
105.74,23.00
105.95,22.75
106.15,22.75
106.35,23.00
106.56,23.25
106.76,23.25
106.97,22.75
107.17,23.00
107.39,23.25
107.59,23.25
107.79,23.25
108.00,23.50
108.20,23.50
108.40,23.25
108.61,23.25
108.81,22.50
109.02,23.25
109.22,23.00
109.42,23.00
109.63,23.25
109.83,23.25
110.03,23.25
110.23,23.25
110.44,23.25
110.64,23.50
110.85,23.25
111.05,23.50
111.26,23.50
111.46,23.50
111.67,23.25
111.87,23.50
112.08,23.50
112.28,23.25
112.48,23.50
112.68,23.50
112.89,23.75
113.09,23.75
113.30,23.75
113.50,23.75
113.71,23.50
113.91,23.75
114.12,23.50
114.32,24.00
114.53,23.75
114.73,24.00
114.93,23.75
115.14,24.00
115.34,23.75
115.55,23.75
115.75,23.50
115.95,23.75
116.16,23.75
116.36,23.75
116.56,24.00
116.77,23.50
116.97,24.00
117.18,24.00
117.38,24.00
117.58,24.00
117.79,24.00
117.99,24.00
118.20,24.00
118.40,24.00
118.61,24.25
118.81,23.75
119.02,24.25
119.22,23.25
119.42,23.75
119.63,24.00
119.83,24.50
120.03,24.00
120.24,23.75
120.44,24.00
120.65,24.25
120.85,24.25
121.06,24.00
121.26,24.00
121.47,24.25
121.67,24.50
121.87,24.50
122.08,24.25
122.28,24.50
122.49,24.50
122.69,24.50
122.90,24.50
123.10,24.00
123.31,24.75
123.51,24.75
123.71,24.75
123.92,24.75
124.13,24.75
124.33,24.75
124.53,24.50
124.74,24.25
124.94,24.75
125.14,24.25
125.35,24.75
125.55,24.75
125.75,24.50
125.96,24.75
126.16,25.00
126.37,25.00
126.57,25.00
126.77,25.00
126.98,25.00
127.18,24.50
127.38,25.25
127.59,25.25
127.80,25.25
128.00,25.00
128.20,24.50
128.41,24.75
128.61,25.25
128.82,25.00
129.02,25.25
129.23,25.25
129.43,24.75
129.64,25.25
129.84,25.25
130.04,25.25
130.25,24.75
130.45,25.25
130.66,25.50
130.86,25.50
131.07,25.00
131.27,25.50
131.47,25.00
131.68,25.00
131.88,24.50
132.09,25.50
132.29,25.50
132.49,25.25
132.70,25.00
132.90,25.50
133.10,25.75
133.31,25.25
133.51,25.75
133.72,25.50
133.92,25.50
134.12,25.75
134.33,25.50
134.53,25.25
134.74,25.75
134.94,25.75
135.14,25.75
135.35,26.00
135.55,25.75
135.76,25.75
135.96,25.75
136.17,26.00
136.37,25.75
136.58,26.00
136.78,25.50
136.99,25.50
137.19,25.50
137.39,25.75
137.60,25.50
137.81,26.00
138.01,26.00
138.21,26.00
138.42,26.00
138.62,26.00
138.82,26.00
139.03,26.50
139.23,25.75
139.43,25.75
139.64,25.75
139.84,26.00
140.04,25.75
140.25,26.25
140.45,26.00
140.66,26.00
140.86,26.25
141.06,26.00
141.27,26.25
141.47,26.25
141.68,26.75
141.88,26.25
142.08,26.25
142.29,26.50
142.49,26.50
142.70,26.75
142.91,26.25
143.11,26.75
143.32,26.25
143.52,26.75
143.73,26.25
143.93,26.50
144.14,26.75
144.34,27.00
144.54,26.50
144.75,27.00
144.95,26.75
145.16,26.50
145.36,26.75
145.56,27.00
