Tiempo (s),Temperatura (°C)
80.98,20.75
81.19,20.50
81.39,20.25
81.59,20.50
81.80,20.75
82.00,21.00
82.20,20.50
82.40,20.75
82.61,20.50
82.82,21.00
83.03,20.50
83.23,20.50
83.45,20.50
83.65,20.50
83.85,20.75
84.06,20.25
84.26,20.75
84.46,20.50
84.67,21.00
84.87,21.00
85.07,21.00
85.29,20.75
85.49,20.50
85.70,20.75
85.90,20.50
86.10,20.75
86.30,20.75
86.51,20.75
86.71,20.75
86.93,20.50
87.13,21.25
87.34,20.75
87.56,20.75
87.76,20.50
87.96,20.50
88.17,20.50
88.38,21.00
88.58,20.25
88.79,21.00
88.99,20.75
89.19,20.00
89.40,21.00
89.61,20.75
89.81,20.50
90.02,20.75
90.22,20.50
90.42,20.75
90.62,20.75
90.83,20.75
91.03,21.00
91.23,20.75
91.44,20.75
91.64,21.00
91.84,21.00
92.04,20.75
92.25,20.75
92.45,20.50
92.65,21.00
92.85,20.75
93.06,20.75
93.26,20.75
93.46,20.50
93.66,21.25
93.87,21.00
94.07,20.75
94.27,20.75
94.48,20.50
94.68,20.25
94.89,20.75
95.10,21.00
95.30,20.25
95.50,21.00
95.70,20.25
95.90,20.25
96.11,21.00
96.31,21.00
96.51,21.00
96.72,20.75
96.92,20.50
97.12,21.25
97.32,20.75
97.52,20.25
97.72,21.00
97.93,20.75
98.13,20.75
98.33,21.00
98.54,20.25
98.74,20.75
98.94,19.75
99.14,21.00
99.35,20.75
99.56,20.75
99.76,20.50
99.96,20.75
100.17,20.75
100.37,20.75
100.58,20.75
100.78,20.75
100.98,20.25
101.18,20.50
101.39,20.75
101.59,20.75
101.79,20.75
102.00,21.00
102.20,20.25
102.40,20.75
102.60,20.75
102.81,20.75
103.01,20.75
103.21,20.75
103.41,20.75
103.62,20.75
103.82,20.50
104.02,20.25
104.24,21.00
104.44,20.75
104.65,21.00
104.85,20.50
105.05,21.00
105.25,20.75
105.46,20.75
105.66,20.75
105.86,20.50
106.06,20.75
106.27,20.75
106.47,20.25
106.69,20.50
106.89,20.50
107.09,20.50
107.29,20.50
107.49,20.75
107.70,20.75
107.90,20.50
108.10,20.75
108.32,20.75
108.52,20.75
108.73,21.00
108.95,21.00
109.15,20.75
109.35,20.50
109.56,20.75
109.76,20.75
109.96,20.75
110.16,20.75
110.37,20.75
110.57,20.50
110.78,20.75
110.98,20.50
111.18,20.50
111.38,20.50
111.58,20.75
111.79,20.75
111.99,20.75
112.21,20.75
112.41,20.75
112.61,20.75
112.82,20.50
113.02,20.50
113.22,20.75
113.42,20.75
113.63,20.50
113.83,20.75
114.03,20.75
114.23,20.75
114.44,21.00
114.64,20.75
114.84,20.50
115.04,21.00
115.25,20.25
115.45,20.75
115.65,20.75
115.86,21.00
116.06,20.75
116.26,20.75
116.46,20.75
116.67,20.75
116.87,20.25
117.07,21.00
117.27,20.50
117.48,20.75
117.68,20.75
117.88,20.75
118.08,21.00
118.28,20.75
118.49,20.75
118.69,20.75
118.89,20.50
119.10,20.75
119.30,20.75
119.51,21.00
119.73,20.75
119.93,20.75
120.13,21.25
120.34,20.50
120.54,20.25
120.75,20.75
120.96,20.75
121.16,20.75
121.38,20.75
121.58,20.75
121.78,20.50
121.98,21.00
122.19,20.50
122.39,20.25
122.59,20.75
122.79,20.75
123.00,20.75
123.20,21.00
123.40,20.75
123.60,20.75
123.81,20.75
124.01,21.00
124.21,20.75
124.42,20.75
124.62,20.25
124.82,20.75
125.02,20.75
125.23,20.75
125.43,20.75
125.63,20.75
125.84,20.75
126.04,20.50
126.25,20.50
126.46,21.00
126.66,20.75
