Tiempo (s),Temperatura (°C)
82.26,20.25
82.46,20.00
82.67,20.25
82.88,20.75
83.08,20.00
83.29,20.75
83.49,20.25
83.70,20.50
83.91,20.50
84.11,20.50
84.32,20.50
84.52,20.50
84.73,20.50
84.93,20.50
85.14,20.50
85.35,20.75
85.55,20.50
85.76,20.50
85.96,20.50
86.17,20.00
86.38,20.25
86.59,20.00
86.79,20.00
87.00,20.50
87.20,20.00
87.41,20.00
87.62,20.25
87.82,20.75
88.03,20.50
88.24,20.25
88.45,20.25
88.65,20.50
88.86,20.50
89.07,20.50
89.27,20.50
89.48,20.50
89.68,20.25
89.89,20.50
90.10,20.75
90.30,20.25
90.51,20.50
90.72,20.00
90.93,19.75
91.13,20.50
91.34,20.50
91.54,20.00
91.75,20.50
91.96,20.50
92.16,20.25
92.37,20.00
92.57,20.75
92.78,20.25
92.99,20.50
93.20,20.50
93.40,20.00
93.61,20.50
93.82,20.50
94.03,19.75
94.23,20.00
94.44,20.50
94.65,20.50
94.85,20.50
95.06,19.75
95.27,20.50
95.47,20.25
95.68,20.00
95.89,20.25
96.10,20.25
96.31,20.00
96.51,20.00
96.72,20.00
96.92,20.50
97.13,20.75
97.34,20.50
97.55,20.25
97.75,20.25
97.96,20.00
98.17,20.00
98.37,20.00
98.58,20.25
98.78,20.00
98.99,19.75
99.19,20.50
99.40,20.00
99.61,20.25
99.82,20.50
100.02,20.00
100.23,20.00
100.44,20.25
100.64,20.50
100.85,20.00
101.06,20.25
101.26,20.50
101.47,19.75
101.68,20.50
101.89,20.25
102.09,20.25
102.30,19.75
102.51,20.25
102.71,20.25
102.92,20.75
103.13,20.50
103.34,20.25
103.54,20.25
103.75,20.50
103.96,20.50
104.16,20.25
104.37,20.50
104.57,20.25
104.78,20.25
104.99,20.50
105.19,20.75
105.40,20.25
105.61,20.50
105.81,20.50
106.02,20.25
106.23,20.00
106.44,20.25
106.64,20.50
106.85,19.75
107.05,20.50
107.26,20.25
107.46,20.50
107.67,20.50
107.88,20.25
108.09,20.00
108.29,20.50
108.50,20.50
108.71,20.50
108.91,20.50
109.12,20.25
109.33,20.00
109.54,20.50
109.74,20.50
109.95,20.75
110.15,19.75
110.36,19.75
110.57,20.50
110.77,20.50
110.98,20.25
111.19,20.50
111.39,20.00
111.60,19.75
111.81,20.25
112.01,20.75
112.22,20.50
112.42,20.25
112.63,20.50
112.84,20.25
113.05,20.50
113.25,20.50
113.46,20.50
113.67,20.50
113.87,19.75
114.08,20.00
114.28,20.25
114.49,20.25
114.70,20.00
114.90,20.25
115.11,20.25
115.31,20.00
115.52,20.25
115.73,20.25
115.93,20.25
116.14,20.00
116.35,20.25
116.55,20.25
116.76,20.00
116.97,20.00
117.17,20.25
117.38,20.75
117.58,20.25
117.79,19.75
118.00,20.25
118.20,20.25
118.41,20.00
118.61,20.25
118.82,20.00
119.03,20.25
119.24,20.25
119.44,20.00
119.65,20.25
119.86,20.50
120.06,19.75
120.27,20.25
120.48,20.25
120.69,20.25
120.89,20.25
121.10,20.25
121.31,20.50
121.51,20.50
121.72,20.00
121.93,20.25
122.13,20.00
122.34,20.75
122.55,20.25
122.75,20.25
122.96,20.75
123.17,20.25
123.37,20.50
123.58,20.00
123.79,20.75
123.99,20.00
124.20,20.25
124.40,20.25
124.61,20.00
124.81,20.50
125.02,20.00
125.23,20.50
125.44,20.25
125.64,20.25
125.85,20.25
126.06,20.25
126.26,20.00
126.47,20.50
126.68,20.00
126.89,20.00
127.10,20.50
127.30,20.25
127.51,20.25
127.71,20.25
127.92,20.50
128.13,20.50
128.34,20.00
128.54,20.25
128.75,20.25
128.95,20.75
129.16,20.25
129.37,20.25
129.57,20.25
129.78,20.25
129.99,20.00
130.20,20.50
130.40,20.25
130.61,20.25
130.82,20.25
131.03,20.00
131.24,20.50
131.44,20.50
131.65,20.00
131.85,20.00
132.06,20.50
132.27,20.25
132.48,20.25
132.69,20.25
132.89,19.75
133.10,20.25
133.31,20.25
133.51,20.25
133.72,20.50
133.93,20.25
134.14,19.75
134.34,20.75
134.55,20.25
134.76,20.50
134.96,20.25
135.17,20.25
135.38,19.75
135.59,20.25
135.79,20.50
136.00,20.25
136.21,20.25
136.42,20.50
136.62,20.25
136.83,20.00
137.04,20.50
137.24,20.50
137.45,20.00
137.66,19.75
137.87,20.50
138.07,20.25
138.28,20.25
138.49,20.25
138.70,20.00
138.90,20.25
139.11,20.25
139.32,20.25
139.52,20.25
139.73,20.00
139.94,20.25
140.15,20.25
140.36,19.75
140.56,20.50
140.77,20.25
140.98,20.25
141.18,20.25
141.39,20.25
141.60,20.00
141.81,20.25
142.02,20.00
142.22,20.25
142.43,20.00
142.64,20.00
142.85,20.25
143.05,20.00
143.26,20.25
143.47,20.00
143.67,20.00
143.88,20.25
144.08,20.25
144.29,20.25
144.50,20.00
144.71,20.25
144.91,19.75
145.12,20.00
145.32,20.00
145.53,20.50
145.74,20.00
145.94,20.50
146.15,20.50
146.36,20.25
146.56,20.50
146.77,20.25
146.97,20.50
147.18,20.50
147.39,20.25
147.59,20.50
147.80,20.25
148.01,20.25
148.21,20.50
148.42,20.00
148.62,20.25
148.83,20.00
149.04,20.25
149.24,20.25
149.45,20.25
149.66,20.25
149.87,20.25
150.07,20.50
150.28,20.25
150.48,20.25
150.69,20.50
150.90,20.50
151.10,20.25
151.31,20.25
151.52,20.25
151.73,20.25
151.94,20.50
152.14,20.50
152.35,20.00
152.56,20.00
152.77,20.25
152.97,20.00
153.18,20.00
153.39,20.25
153.60,20.25
153.80,20.25
154.01,20.25
154.22,20.50
154.42,20.25
154.63,20.50
154.84,20.00
155.05,20.25
155.25,20.00
155.46,20.50
155.67,20.25
155.87,20.00
156.08,20.00
156.29,20.25
156.50,20.50
156.70,20.25
156.91,20.00
157.12,20.50
157.33,19.75
157.53,20.75
157.74,20.25
157.94,20.50
158.15,20.25
158.36,20.50
158.57,20.50
158.77,20.25
158.98,20.25
159.19,20.25
159.40,20.50
159.60,20.25
159.81,20.00
160.02,20.50
160.22,20.50
160.43,20.25
160.64,20.25
160.85,20.25
161.05,20.25
161.26,20.50
161.47,20.25
161.68,20.50
161.88,20.50
162.09,20.50
162.30,20.50
162.51,20.50
162.71,20.25
162.92,20.50
163.13,20.25
163.34,19.75
163.54,20.25
163.75,20.50
163.96,20.50
164.17,20.50
164.37,20.00
164.58,20.00
164.79,20.25
164.99,20.50
165.20,20.25
165.41,20.25
165.62,20.00
165.82,19.75
166.03,20.50
166.24,20.00
166.44,20.50
166.65,20.00
166.86,20.00
167.07,20.50
167.27,20.50
167.48,20.50
167.69,20.00
167.90,20.25
168.11,20.25
168.32,20.00
168.52,20.50
168.73,20.50
168.94,20.50
169.14,20.50
169.35,20.50
169.56,20.25
169.76,20.25
169.97,20.25
170.18,20.25
170.39,20.50
170.59,20.25
170.80,20.25
171.01,20.25
171.22,20.00
171.42,20.50
171.63,20.50
171.84,20.25
172.05,20.25
172.25,20.00
172.46,20.50
172.67,20.25
172.88,20.25
173.09,20.00
173.29,20.25
173.50,20.00
173.71,19.75
173.91,20.25
174.12,20.25
174.32,20.25
174.53,20.25
174.74,20.25
174.95,20.00
175.16,20.25
175.36,20.00
175.57,20.50
175.77,20.50
175.98,20.00
176.19,20.50
176.39,20.50
176.60,20.25
176.81,20.25
177.02,20.50
177.23,20.25
177.43,20.00
177.64,20.50
177.85,20.25
178.06,20.25
178.26,20.00
178.47,19.75
178.68,20.50
178.89,20.50
179.09,20.00
179.30,20.00
179.51,20.00
179.72,20.50
179.92,19.75
180.13,20.50
180.34,20.25
180.55,20.50
180.75,20.50
180.96,20.25
181.16,20.25
181.37,20.25
181.58,20.00
181.78,20.50
181.99,20.50
182.20,20.50
182.40,20.00
182.61,20.25
182.82,19.50
183.03,20.50
183.23,20.50
183.44,20.50
183.65,20.00
183.85,20.25
184.06,20.00
184.27,20.75
184.48,20.00
184.68,20.00
184.89,20.50
185.10,20.25
185.30,20.50
185.51,20.25
185.72,20.25
185.93,19.50
186.13,20.25
186.34,20.50
186.55,20.00
186.75,20.00
186.96,19.75
187.17,20.00
187.37,20.25
187.58,20.50
187.79,20.50
188.00,20.25
188.21,20.00
188.41,20.00
188.62,20.00
188.83,20.25
189.03,20.00
189.24,20.25
189.45,20.25
189.66,20.50
189.87,20.00
190.07,20.25
190.28,20.50
190.49,20.25
190.70,19.75
190.90,20.00
191.11,20.00
191.31,20.50
191.52,20.25
191.73,20.00
191.94,19.50
192.15,20.25
192.35,19.75
192.56,20.50
192.77,20.00
192.97,20.00
193.18,20.50
193.38,20.00
193.59,20.00
193.80,20.00
194.00,20.00
194.21,20.00
194.41,20.00
194.62,20.00
194.83,20.25
195.03,20.00
195.24,20.25
195.45,20.00
195.65,20.50
195.86,20.00
196.07,20.00
196.27,20.00
196.48,20.00
196.69,20.25
196.90,20.00
197.10,20.25
197.31,20.25
197.52,20.25
197.73,20.25
197.93,20.25
198.14,20.25
198.35,20.50
198.56,19.50
198.76,20.50
198.97,20.50
199.18,20.25
199.38,20.50
199.59,20.50
199.80,20.50
200.00,20.50
200.21,20.50
200.42,20.50
200.63,20.50
200.83,20.50
201.04,20.50
201.25,20.25
201.46,20.25
201.66,19.50
201.87,20.25
202.08,20.00
202.29,19.75
202.49,20.25
202.70,19.75
202.91,20.25
203.11,20.50
203.32,20.50
203.53,19.75
203.73,20.25
203.94,19.75
204.15,19.75
204.35,20.50
204.56,19.75
204.77,20.25
204.98,20.50
205.18,20.25
205.39,20.50
205.60,20.25
205.81,20.50
206.01,20.25
206.22,20.25
206.42,20.25
206.63,20.00
206.84,20.25
207.04,20.00
207.25,20.25
207.45,20.50
207.66,20.25
207.87,20.00
208.08,20.00
208.29,20.50
208.49,20.25
208.70,20.25
208.91,20.25
209.12,20.00
209.33,20.00
209.53,20.50
209.74,20.50
209.95,20.50
210.16,20.25
210.37,20.25
210.57,20.50
210.78,20.50
210.99,20.00
211.19,20.00
211.40,19.75
211.61,20.00
211.81,20.25
212.02,20.25
212.23,20.50
212.44,20.00
212.64,20.25
212.85,20.00
213.06,20.25
213.27,20.50
213.48,20.25
213.68,20.25
213.89,20.25
214.10,20.50
214.31,20.25
214.51,20.50
214.72,20.25
214.92,20.50
215.13,19.75
215.34,20.25
215.54,20.25
215.75,20.25
215.95,20.25
216.16,19.75
216.37,20.25
216.57,20.00
216.78,19.75
216.99,20.50
217.20,20.00
217.41,20.50
217.61,20.00
217.82,20.25
218.03,20.25
218.24,20.25
218.44,20.00
218.65,20.50
218.85,20.25
219.06,20.25
219.27,20.25
219.47,20.25
219.68,20.25
219.88,19.75
220.09,20.50
220.30,20.25
220.51,20.25
220.72,19.75
220.93,20.25
221.13,20.25
221.34,20.50
221.55,19.75
221.76,20.00
221.96,20.50
222.17,20.25
222.38,20.50
222.58,20.00
222.79,20.00
223.00,20.50
223.21,20.25
223.41,20.25
223.62,20.50
223.83,20.25
224.03,20.25
224.24,20.25
224.45,20.25
224.65,20.00
224.86,20.25
225.07,20.50
225.28,20.25
225.48,20.00
225.69,20.25
225.90,20.50
226.10,20.00
226.31,20.50
226.51,20.25
226.72,20.25
226.93,20.50
227.14,20.25
227.35,20.25
227.55,20.50
227.76,20.50
227.97,20.50
228.18,20.25
228.38,20.00
228.59,20.25
228.80,20.25
229.00,20.25
229.21,20.50
229.42,20.25
229.63,20.25
229.83,20.50
230.04,20.00
230.25,20.25
230.45,20.75
230.66,20.50
230.87,20.25
231.07,20.00
231.28,20.50
231.49,20.00
231.70,20.25
231.90,20.00
232.11,20.25
232.32,20.25
232.52,20.25
232.73,20.00
